Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
AJG,10.7474,22.8716,-12.9869,20.714033,6.877366666666667,Not Ideal
AJX,46.8803,-135.8643,213.5767,7.666667,41.5309,Not Ideal
AKAM,16.98,-19.6381,4.5748,13.769441,0.6388999999999996,Not Ideal
AKBA,-26.7167,-66.5894,-44.8931,-3.9375,-46.0664,Not Ideal
AKR,-362.344,-250.5223,-156.0671,49.371433,-256.3111333333333,Not Ideal
AKTS,22.1804,33.6783,7.6745,-1.7267648,21.17773333333333,Ideal 20% - 25%
AL,-15.4247,-122.221,-733.4742,9.461394,-290.37330000000003,Not Ideal
ALB,-67.0879,2074.9596,-41.5025,13.517978,655.4564,Not Ideal
ALCO,47.3206,-64.2589,-85.2717,59.38298,-34.07,Not Ideal
ALDX,53.8496,7.3531,-39.4716,-13.586207,7.2437,Not Ideal
ALE,-2.8703,11.8794,30.5335,14.235578,13.180866666666669,Not Ideal
ALEC,-80.9024,266.952,-2.1896,-2.8700564,61.28666666666666,Not Ideal
ALEX,532.1429,-242.9379,-158.8933,21.96,43.43723333333335,Not Ideal
ALG,38.8226,27.021,33.5855,14.516804,33.143033333333335,Not Ideal
ALGN,-56.5277,-53.1653,23.088,25.977922,-28.86833333333334,Not Ideal
ALGT,-182.4871,-98.3583,4617.0477,6.6699266,1445.4007666666666,Not Ideal
ALIM,-18.112,314.1583,11.1835,18.4,102.40993333333331,Not Ideal
ALKS,-56.5501,228.5661,-324.7828,9.511628,-50.922266666666665,Not Ideal
ALL,-71.0545,-179.8637,-85.4151,10.03896,-112.1111,Not Ideal
ALLE,53.6748,-5.176,17.9913,16.01581,22.163366666666665,Ideal 20% - 25%
ALLK,75.8275,18.5622,-41.9597,-1.5,17.47666666666667,Not Ideal
ALLO,-42.4583,86.9883,-3.8626,-1.725,13.555799999999998,Not Ideal
ALLY,182.0276,-43.9869,-40.4901,7.1415267,32.51686666666667,Not Ideal
ALNY,-0.6358,32.6365,-61.0803,-81.78977,-9.693200000000004,Not Ideal
ALPN,80.1467,14.7597,-44.2817,-34.174603,16.874899999999997,Not Ideal
ALRM,-32.8748,7.8054,43.8514,29.424778,6.2606666666666655,Not Ideal
ALSN,47.8261,20.1357,-100.0,8.463752,-10.6794,Not Ideal
ALT,97.9632,-12.748,4.4078,-3.5405407,29.87433333333333,Not Ideal
ALTR,-16.2476,393.8481,-79.4469,56.65493,99.38453333333332,Not Ideal
ALV,132.6203,-2.7586,15.3664,9.990826,48.40936666666666,Not Ideal
ALX,216.9603,-56.6449,77.7016,16.261337,79.339,Not Ideal
AM,-370.6481,-1.6208,-100.0,14.122449,-157.42296666666667,Not Ideal
AMAL,14.612,53.9131,7.9789,7.5045877,25.50133333333333,Not Ideal
AMAT,62.6969,10.8186,5.0728,20.779287,26.1961,Not Ideal
AMBC,-96.1098,-3164.7059,-99.2322,41.285713,-1120.0159666666666,Not Ideal
AMC,-72.3453,-23.2842,-59.2646,-3.6625001,-51.63136666666666,Not Ideal
AMCX,4.4241,-96.9696,2737.2926,2.0344827,881.5823666666666,Not Ideal
AMD,26.988,-58.2543,-35.303,28.640144,-22.189766666666667,Not Ideal
AME,13.4811,17.1192,13.2506,23.319094,14.616966666666665,Not Ideal
AMED,13.8687,-43.2688,-108.2178,18.373253,-45.87263333333333,Not Ideal
AMG,179.7725,102.5632,-41.2776,6.3096204,80.35269999999998,Not Ideal
AMGN,-18.8739,11.1828,2.5183,13.044762,-1.7242666666666662,Not Ideal
AMH,34.7059,44.4471,39.1853,51.884056,39.4461,Not Ideal
AMKR,90.1576,19.1025,-53.0162,13.88412,18.747966666666667,Not Ideal
AMN,363.2958,35.6342,-52.5551,13.124726,115.4583,Not Ideal
AMNB,44.8694,-20.9024,-24.0182,19.899998,-0.0170666666666671,Not Ideal
AMP,122.751,-7.8431,-18.8314,10.793971,32.0255,Not Ideal
AMPE,7.4305,-4.3221,-47.1629,-2.7888887,-14.684833333333332,Not Ideal
AMPH,4327.3699,47.1215,50.5099,9.63785,1475.0004333333334,Not Ideal
AMRC,30.3523,34.7271,-34.1908,10.361386,10.296199999999995,Not Ideal
AMRK,423.2456,-16.9766,17.9755,7.4341373,141.41483333333335,Not Ideal
AMRX,-88.3328,-1323.5128,-35.383,9.166667,-482.4095333333333,Not Ideal
AMS,-102.7487,584.5361,-54.0663,7.24881,142.5737,Not Ideal
AMSF,-24.071,-15.4419,11.701,18.92116,-9.270633333333334,Not Ideal
AMT,51.881,-31.2303,-15.9984,23.278154,1.5507666666666668,Not Ideal
AMTX,28.6096,128.5575,-56.922,-7.8,33.415033333333334,Not Ideal
AMZN,56.4109,-108.1585,-1217.7443,33.081287,-423.1639666666667,Not Ideal
AN,259.8008,0.3205,-25.8676,8.04945,78.08456666666665,Not Ideal
ANAB,189.9804,122.7213,27.1084,-4.083893,113.27003333333334,Not Ideal
ANDE,1248.716,26.0554,-22.8029,14.159793,417.3228333333333,Not Ideal
ANET,32.5104,60.842,54.3367,29.832556,49.2297,Not Ideal
ANGI,1036.0497,79.9574,-68.1277,35.166664,349.29313333333334,Not Ideal
ANGO,-81.0849,-15.852,97.544,-11.816326,0.2023666666666628,Not Ideal
ANIK,-117.2379,-459.434,456.343,63.14634,-40.10963333333334,Not Ideal
ANIP,88.9436,12.424,-139.2079,13.173652,-12.613433333333328,Not Ideal
ANIX,29.3027,4.9483,-27.8338,-6.6000004,2.139066666666668,Not Ideal
ANSS,4.78,15.1955,-4.4486,30.334267,5.175633333333334,Not Ideal
AON,-36.2621,106.2948,-0.9656,16.068947,23.02236666666667,Ideal 20% - 25%
AOS,41.2293,-51.6116,136.1476,18.999998,41.92176666666667,Not Ideal
AOSL,-981.0794,679.756,-97.2716,27.000002,-132.865,Not Ideal
AP,-148.4442,-188.4745,-1268.8525,8.913043,-535.2570666666667,Not Ideal
APA,-123.7249,217.533,-20.7825,5.8656716,24.34186666666666,Ideal 20% - 25%
APAM,58.2733,-38.5601,7.5132,11.369445,9.075466666666667,Not Ideal
APD,11.2578,7.4794,1.9547,17.597914,6.8973,Not Ideal
APDN,9.6661,-42.1277,20.3095,-0.37735847,-4.050699999999999,Not Ideal
APEI,-5.6848,-747.7749,-58.8792,14.40625,-270.7796333333333,Not Ideal
APH,32.1921,19.5813,1.351,31.615183,17.708133333333333,Not Ideal
APLE,-110.8702,669.0939,22.571,17.57143,193.59823333333333,Not Ideal
APLS,116.4135,-12.6189,-18.9435,40.916664,28.2837,Not Ideal
APPF,-99.351,-6726.3619,-103.9666,43.611538,-2309.8931666666663,Not Ideal
APPN,164.7818,70.2598,-26.1589,-288.0,69.62756666666668,Not Ideal
APT,-74.8735,-51.421,27.6356,5.1465516,-32.8863,Not Ideal
APTV,-67.2949,0.678,394.6128,9.916202,109.33196666666667,Not Ideal
APVO,60.3211,-128.2075,-316.9054,-0.08806691,-128.2639333333333,Not Ideal
APYX,27.5387,52.8078,-19.2849,-2.0428572,20.353866666666665,Ideal 20% - 25%
AQMS,-29.3805,-15.1817,55.1293,-6.7000003,3.5223666666666653,Not Ideal
AR,-85.2591,-1115.9343,-87.2065,12.367272,-429.4666333333333,Not Ideal
ARAY,-264.9072,-15.2749,73.5553,16.384617,-68.8756,Not Ideal
ARC,47.7537,21.3387,-25.7707,8.250001,14.440566666666664,Not Ideal
ARCB,200.3108,39.6626,-34.4644,8.76759,68.503,Not Ideal
ARCH,-197.9566,294.2596,-65.1339,6.9793406,10.38969999999999,Not Ideal
ARDX,67.7022,-57.5083,-1.6963,160.0,2.832533333333336,Not Ideal
ARE,-25.9044,-8.6805,-80.1328,30.412075,-38.23923333333334,Not Ideal
ARES,168.7207,-59.0201,183.1104,21.64065,97.60366666666664,Not Ideal
ARI,1116.2758,18.6641,-78.0845,7.766129,352.2851333333333,Not Ideal
ARLO,-44.6633,1.0655,-61.085,21.344828,-34.89426666666667,Not Ideal
ARMK,-80.3191,-314.1116,246.6136,16.242268,-49.27236666666667,Not Ideal
AROC,-141.2258,56.9834,137.0372,16.262712,17.598266666666674,Not Ideal
AROW,22.1177,-2.1221,-38.3696,8.403773,-6.124666666666666,Not Ideal
ARR,-107.1419,-1596.6478,-70.4593,4.265258,-591.4163333333333,Not Ideal
ARTNA,0.0595,6.9591,-7.2175,16.657143,-0.0663,Not Ideal
ARVN,60.1006,47.9058,30.0177,-5.70377,46.00803333333334,Not Ideal
ARW,89.6175,28.7573,-36.6799,7.989362,27.23163333333333,Not Ideal
ARWR,66.5795,25.0021,16.5918,-8.503759,36.05779999999999,Not Ideal
ASB,14.4156,4.31,-50.0287,8.890296,-10.434366666666667,Not Ideal
ASGN,104.643,-34.5938,-18.2022,16.048252,17.28233333333333,Not Ideal
ASH,-143.3071,321.3636,-80.7983,16.695272,32.41940000000001,Not Ideal
ASIX,203.3856,22.9593,-68.2214,6.072116,52.707833333333326,Not Ideal
ASMB,108.9313,-28.3108,-34.2285,-0.7912437,15.464,Not Ideal
ASPN,70.0857,123.0495,-44.6312,23.727272,49.50133333333333,Not Ideal
ASPS,-117.5889,-552.235,5.3765,-6.419355,-221.48246666666668,Not Ideal
ASRT,-95.4484,-8657.7674,-402.7977,inf,-3052.0045,Not Ideal
ASTC,-8.5188,9.562,15.7503,-13.455882,5.597833333333333,Not Ideal
ASTE,-65.6522,-100.6329,-33600.0,13.483871,-11255.428366666669,Not Ideal
ASUR,-119.5757,-553.0536,-36.3058,10.263888,-236.3117,Not Ideal
ASYS,-109.591,1051.6578,-172.4477,24.1,256.5397,Not Ideal
ATEC,81.0669,5.7756,23.362,-16.605263,36.73483333333333,Not Ideal
ATEN,432.5943,-50.5644,-14.7907,15.011495,122.41306666666668,Not Ideal
ATGE,-182.0622,344.1016,-69.9805,9.61628,30.686300000000006,Not Ideal
ATI,-111.7385,75.2438,26.9861,19.966555,-3.169533333333336,Not Ideal
ATKR,285.9811,55.3837,-24.4719,9.738889,105.63096666666668,Not Ideal
ATLC,89.0161,-23.7799,-24.1539,4.191759,13.6941,Not Ideal
ATNI,56.5501,-74.4663,157.5376,63.6,46.54046666666667,Not Ideal
ATNM,11.5192,33.2728,47.8572,-70.0,30.883066666666664,Not Ideal
ATO,10.661,16.3523,14.3936,16.699717,13.8023,Not Ideal
ATR,14.0427,-1.9701,18.889,24.893103,10.320533333333332,Not Ideal
ATRA,10.9324,-32.8802,20.9477,-1.5,-0.3333666666666666,Not Ideal
ATRC,-204.2446,-192.5636,-34.494,-42.315792,-143.76739999999998,Not Ideal
ATRO,-77.9083,39.7568,-26.0889,14.582609,-21.413466666666665,Not Ideal
ATSG,620.5979,-14.1902,-69.621,12.82,178.9289,Not Ideal
ATUS,127.0403,-80.3533,-72.6577,7.423077,-8.656900000000002,Not Ideal
AUMN,-76.9425,372.8401,-6.8443,-1.2056098,96.35110000000002,Not Ideal
AVA,13.782,5.3226,10.3135,13.945737,9.806033333333334,Not Ideal
AVB,21.3464,13.1909,-18.293,34.847427,5.414766666666668,Not Ideal
AVD,21.9459,47.4364,-72.5624,11.39,-1.060033333333332,Not Ideal
AVGO,127.5676,70.6502,22.5054,22.811754,73.57440000000001,Not Ideal
AVGR,-8.3868,1.2118,3.9551,-0.42988506,-1.0732999999999997,Not Ideal
AVNS,-123.1618,701.5873,-222.3762,9.772973,118.6831,Not Ideal
AVNW,42755.642,-80.7879,-45.5198,8.040866,14209.778099999998,Not Ideal
AVRO,-0.4895,-11.1109,-111.4808,-3.6060607,-41.02706666666666,Not Ideal
