Ticker,2023_MarketCap
BOOT,3226147584
BOTJ,46251204
BOX,3756065024
BPMC,5737512960
BPOP,6143493120
BPRN,184228000
BPTH,4429827
BR,22778281984
BRC,2851564288
BRID,95407464
BRKL,744059264
BRKR,11337584640
BRN,29011848
BRO,23259203584
BRT,335894208
BRX,6658707968
BRY,653212096
BSET,123425920
BSGM,18589012
BSRR,290321376
BSX,105641721856
BTU,2792786432
BURL,11491795968
BUSE,1267332608
BV,1062000000
BW,91270008
BWA,7568428032
BWEN,45948240
BWFG,181334576
BWXT,8754076672
BXC,949932992
BXMT,3062021632
BXP,9719761920
BY,955681664
BYD,5122554880
BYFC,46022352
BYND,439648448
BZH,884203584
C,116980842496
CABO,2213082624
CAC,456726720
CACC,6277966336
CACI,8968281088
CADE,5054782976
CAG,14714779648
CAH,25062727680
CAKE,1759567232
CAL,1295506304
CALA,97450
CALM,2713289216
CALX,1817008256
CAMP,5117604
CAPR,166020816
CAR,3402525184
CARA,41104192
CARG,2357176832
CARS,1106255360
CASA,3468815
CASH,1283971584
CASI,31546896
CASS,588753088
CASY,11829956608
CAT,167076560896
CATC,481484448
CATO,99116552
CATY,2503381504
CB,100963008512
CBAN,190861984
CBAY,3728216832
CBFV,114223808
CBOE,19113316352
CBRE,26670796800
CBRL,1291881984
CBSH,7091722752
CBT,5056404480
CBU,2280503296
CBZ,3566979328
CC,3982566656
CCBG,449333664
CCI,40794300416
CCK,9913563136
CCL,19414200320
CCNE,399469312
CCO,672370816
CCOI,3147265280
CCRN,610322240
CCS,2521646336
CDE,1801595136
CDLX,590131520
CDMO,484350880
CDNA,401801184
CDNS,75008303104
CDTX,54649764
CDW,32498243584
CDXC,266594224
CDXS,204583488
CDZI,153406608
CE,17137192960
CEI,24530418
CEIX,2450391296
CELC,480245408
CELH,16610897920
CENT,2572847616
CENTA,2584501760
CENX,1608353664
CERS,302742624
CETX,1204957
CEVA,477997024
CF,14824722432
CFBK,117187224
CFFI,131909672
CFFN,637906432
CFG,15638923264
CFR,6704293376
CGNX,7137444352
CHCI,72068408
CHCO,1501278336
CHCT,734642240
CHD,26314909696
CHDN,9505906688
CHE,8597986304
CHEF,1316885120
CHGG,528461888
CHH,5873572352
CHK,11755853824
CHMG,200367248
CHMI,104954056
CHRS,222456080
CHRW,8215552000
CHTR,36863037440
CHUY,510692032
CI,101273329664
CIA,110546456
CIEN,6684997120
CIM,995066432
CINF,18127349760
CIO,187118096
CIVB,224013216
CIX,387761568
CIZN,44204472
CKX,28491854
CL,75414937600
CLAR,242035776
CLB,737297536
CLDT,463011648
CLDX,2466370816
CLF,8035544064
CLFD,442965824
CLH,10351074304
CLIR,36276256
CLNE,517970176
CLPR,177998512
CLRB,99684944
CLRO,22140258
CLW,748591808
CLX,18351554560
CMA,6651889664
CMC,6218148352
CMCO,1186760192
CMCSA,149529542656
CMCT,76221512
CME,75476271104
CMG,86785687552
CMI,38633050112
CMP,514325664
CMRX,83857776
CMS,18100267008
CMT,164873088
CMTL,53530744
CNA,11903301632
CNC,38988906496
CNDT,657225472
CNFR,11000610
CNK,2097027456
CNMD,2093831680
CNNE,1220923264
CNO,2860622848
CNOB,686545792
CNP,18448447488
CNS,3406336256
CNSL,511617632
CNTY,90168904
CNX,3604322304
CNXN,1633708928
CODA,74298456
COF,54804598784
COHN,12659339
COHR,8293543936
COHU,1427644416
COKE,7742667776
COLB,3938249472
COLD,6262240768
COLL,1207821568
COLM,4735874560
COMM,190785856
CONN,87847576
COO,17701208064
COOP,4996461056
COP,147113590784
COR,47635492864
CORT,2421478912
COST,320609058816
COTY,10240733184
CPB,13626288128
CPE,2378336768
CPF,539223488
CPHC,114305856
CPIX,22682400
CPK,2357449728
CPRI,4135796992
CPRT,52217004032
CPRX,1776065536
CPS,266786256
CPSH,26077936
CPSI,133326672
CPSS,180871952
CPT,10642734080
CR,7993184768
CRAI,1003384384
CRBP,389186688
CRC,3634743296
CRI,2496869376
CRIS,90474128
CRK,2939552000
CRL,11795973120
CRM,260871798784
CRMD,288925696
CRMT,365883808
CRNX,3450579456
CROX,7549570048
CRS,4234642432
CRUS,4777022976
CRVL,4082973696
CRVS,76009824
CRWS,52022756
CSCO,190230937600
CSGP,37375545344
CSGS,1407237120
CSL,18481399808
CSPI,127483472
CSTR,418353376
CSV,387529312
CSWI,3690832640
CSX,64942780416
CTAS,66797154304
CTBI,756978176
CTHR,10110954
CTLT,10107397120
CTMX,110402832
CTO,395729216
CTRE,3337026560
CTRN,183032432
CTS,1404255104
CTSH,32656031744
CTSO,43988184
CUBE,9149993984
CUBI,1445546752
CUE,92422272
CULP,56862744
CURO,2891035
CUTR,48304652
CUZ,3489105152
CVBF,2282436608
CVCO,3039922432
CVCY,235332512
CVGI,203650064
CVGW,479718112
CVI,3054131712
CVLT,4474003968
CVLY,214504848
CVM,78809632
CVNA,14726591488
CVR,15477435
CVS,85347098624
CVU,33935616
CVV,30369068
CVX,297215787008
CW,9700917248
CWBC,324001344
CWBR,2499959
CWEN,4603615232
CWH,913605376
CWST,5252981248
CWT,2836881408
CXW,1663331712
CYAN,3185052
CYCC,2794711
CYH,458587808
CYRX,795973312
CYTK,6412600320
CZNC,262196592
CZR,7747866112
CZWI,115025904
D,42700492800
DAIO,25721136
DAKT,418463936
DAL,32310822912
DAN,1801728512
DAR,6769878528
DARE,30928966
DBD,1189361664
DBI,531764256
DBX,7836996608
DCI,8690641920
DCO,791942528
DCOM,708562432
DCPH,2077851008
DD,30310363136
DDD,447623648
DDS,7108621312
DE,108952109056
DEA,1207085952
DECK,21008650240
DEI,2718076160
DELL,88966791168
DENN,418212544
DFIN,1848588416
DFS,31754102784
DG,30576007168
DGICA,446337024
DGII,1111627392
DGLY,5909582
DGX,15350691840
DHI,46923669504
DHIL,420733248
DHR,182668214272
DHX,112387152
DIN,681477248
DIOD,3371499776
DIS,203790729216
DIT,98853376
DJCO,461580480
DK,1749647488
DKS,16567162880
DLA,16570202
DLB,7422649856
DLHC,151130032
DLR,44272623616
DLTH,144873264
DLTR,25776490496
DLX,869566848
DMRC,451831552
DNLI,2200817664
DNOW,1536494336
DOC,13097383936
DOCU,11588680704
DOMO,286374944
DOOR,2913210368
DORM,2713223680
DOV,24641200128
DOW,40012423168
DPZ,18461044736
DRH,1885180160
DRI,18310864896
DRQ,625752000
DRRX,29782144
DSKE,391290496
DSS,12223392
DTE,22829289472
DUK,75803656192
DVA,12191538176
DVAX,1487912320
DVN,32499300352
DWSN,48797436
DX,748757696
DXC,3564155904
DXCM,50660966400
DXLG,186145008
DXPE,788951424
DXYN,8361567
DY,4073420032
DZSI,36809420
EA,33905326080
EAF,442327264
EARN,131007560
EAT,2370572544
EB,525292928
EBAY,26102124544
EBF,514906528
EBMT,102614784
EBS,98494704
EBTC,300751360
ECL,64658997248
ECPG,973294720
ED,32636061696
EDIT,428442816
EDUC,18513556
EE,1813765120
EEFT,4708822528
EEX,362569120
EFC,973047488
EFOI,7329925
EFSC,1425059456
EFX,27217905664
EGAN,193768144
EGBN,558139136
EGHT,272760416
EGLE,693163520
EGP,7479698432
EGRX,52999040
EGY,667776000
EHC,8349672960
EHTH,123856784
EIG,1079379712
EIGR,2552120
EIX,27335360512
EKSO,22199844
EL,52591575040
ELAN,6502316544
ELF,9021536256
ELMD,149644944
ELOX,3021112
ELS,11792603136
ELSE,14397683
EME,16810171392
EMKR,20953802
EML,197356144
EMN,11106050048
EMR,61617823744
ENG,8663054
ENPH,14798213120
ENR,2061587712
ENS,3655627008
ENSG,6735228416
ENSV,5956519
ENTA,290683424
ENTG,20035563520
ENV,3418436864
ENVA,1655483392
ENZ,53274728
EOG,76003295232
EOLS,736727872
EPAM,13627670528
EPC,1878483200
EPM,180664016
EPR,3071360256
EPRT,4617560064
EQBK,510569024
EQC,2007214464
EQH,12092306432
EQIX,67487326208
EQR,24403736576
EQT,17703424000
ERIE,20009252864
