Ticker,2023_PE,Gsector
ASIX,6.072116,Basic Materials
ASMB,-0.7912437,Healthcare
ASPN,23.727272,Industrials
ASPS,-6.419355,Real Estate
ASRT,inf,Healthcare
ASRV,,Financial Services
ASTC,-13.455882,Industrials
ASTE,13.483871,Industrials
ASUR,10.263888,Technology
ASYS,24.1,Technology
ATEC,-16.605263,Healthcare
ATEN,15.011495,Technology
ATGE,9.61628,Consumer Defensive
ATI,19.966555,Industrials
ATKR,9.738889,Industrials
ATLC,4.191759,Financial Services
ATLO,,Financial Services
ATNI,63.6,Communication Services
ATNM,-70.0,Healthcare
ATO,16.699717,Utilities
ATOS,-5.0333333,Healthcare
ATR,24.893103,Healthcare
ATRA,-1.5,Healthcare
ATRC,-42.315792,Healthcare
ATRI,,Healthcare
ATRO,14.582609,Industrials
ATSG,12.82,Industrials
ATUS,7.423077,Communication Services
AUBN,,Financial Services
AUMN,-1.2056098,Basic Materials
AVA,13.945737,Utilities
AVAV,46.859234,Industrials
AVB,34.847427,Real Estate
AVD,11.39,Basic Materials
AVGO,22.811754,Technology
AVGR,-0.42988506,Healthcare
AVNS,9.772973,Healthcare
AVNW,8.040866,Technology
AVRO,-3.6060607,Healthcare
AVT,8.227272,Technology
AVTR,19.699186,Basic Materials
AVXL,-5.7031255,Healthcare
AVY,20.614801,Consumer Cyclical
AWI,17.783281,Industrials
AWK,21.535212,Utilities
AWR,21.59756,Utilities
AWRE,-15.076924,Technology
AX,7.2715516,Financial Services
AXDX,-0.454433,Healthcare
AXGN,37.70588,Healthcare
AXL,13.849057,Consumer Cyclical
AXNX,79.25,Healthcare
AXP,15.685657,Financial Services
AXR,,Real Estate
AXS,5.807765,Financial Services
AXSM,59.96748,Healthcare
AXTA,14.623256,Basic Materials
AXTI,16.666666,Technology
AYI,14.966847,Industrials
AYX,28.222221,Technology
AZO,17.706175,Consumer Cyclical
AZPN,27.042582,Technology
AZZ,12.655477,Industrials
B,16.148836,Industrials
BA,27.246754,Industrials
BAC,10.396067,Financial Services
BAH,25.028812,Industrials
BANC,6.7772274,Financial Services
BAND,11.446541,Technology
BANF,15.980287,Financial Services
BANR,8.778672,Financial Services
BATRA,-96.04762,Communication Services
BATRK,-155.95834,Communication Services
BAX,12.498451,Healthcare
BBCP,9.366198,Industrials
BBGI,-4.857143,Communication Services
BBSI,14.144354,Industrials
BBW,7.854167,Consumer Cyclical
BBY,10.958334,Consumer Cyclical
BC,9.42056,Consumer Cyclical
BCBP,6.1168833,Financial Services
BCC,11.276216,Basic Materials
BCLI,-1.3482143,Healthcare
BCO,8.888211,Industrials
BCOV,-178.0,Technology
BCPC,29.639414,Basic Materials
BCRX,-11.8,Healthcare
BDC,11.132876,Technology
BDL,,Consumer Cyclical
BDN,-13.757575,Real Estate
BDSI,8.873016,
BDX,16.348433,Healthcare
BE,26.500002,Industrials
BEAT,-3.4067798,Healthcare
BECN,11.799999,Industrials
BELFA,12.280703,Technology
BELFB,10.504472,Technology
BEN,8.099291,Financial Services
BERY,6.824096,Consumer Cyclical
BFAM,26.255695,Consumer Cyclical
BFIN,11.376471,Financial Services
BFS,33.1,Real Estate
BFST,7.7061076,Financial Services
BG,10.362526,Consumer Defensive
BGFV,-23.599998,Consumer Cyclical
BGS,11.935484,Consumer Defensive
BGSF,9.117021,Industrials
BH,-26.45772,Consumer Cyclical
BHB,9.021583,Financial Services
BHE,12.381146,Technology
BHF,2.4270625,Financial Services
BHLB,8.773663,Financial Services
BHR,-3.2500002,Real Estate
BHVN,-6.6552315,Healthcare
BIG,-0.5301205,Consumer Defensive
BIIB,12.374424,Healthcare
BIO,22.479166,Healthcare
BIOL,-1.3481818,Healthcare
BJ,17.327147,Consumer Defensive
BJRI,21.872482,Consumer Cyclical
BK,9.306425,Financial Services
BKD,-11.706897,Healthcare
BKE,9.119513,Consumer Cyclical
BKH,13.325243,Utilities
BKNG,16.836706,Consumer Cyclical
BKSC,,Financial Services
BKTI,4.158757,Technology
BKU,8.432177,Financial Services
BL,26.999998,Technology
BLBD,13.234941,Consumer Cyclical
BLCM,-0.07786459,Healthcare
BLD,17.756472,Industrials
BLDR,12.625691,Industrials
BLFS,-38.97778,Healthcare
BLK,16.111017,Financial Services
BLKB,16.065979,Technology
BLMN,9.243728,Consumer Cyclical
BLUE,-0.5509938,Healthcare
BMI,39.765217,Technology
BMRC,9.385621,Financial Services
BMRN,30.590908,Healthcare
BMY,6.3041606,Healthcare
BNED,-0.5497297,Consumer Cyclical
BOH,15.117333,Financial Services
BOKF,10.48818,Financial Services
BOOM,6.6041665,Energy
BOOT,20.593811,Consumer Cyclical
BOTJ,,Financial Services
BOX,14.141304,Technology
BPMC,-32.856113,Healthcare
BPOP,7.649865,Financial Services
BPRN,8.701492,Financial Services
BPTH,-0.1537208,Healthcare
BR,22.647541,Technology
BRC,13.501144,Industrials
BRID,,Consumer Defensive
BRKL,8.137256,Financial Services
BRKR,23.011799,Healthcare
BRN,,Energy
BRO,21.234375,Financial Services
BRT,-36.612244,Real Estate
BRX,23.263159,Real Estate
BRY,8.40594,Energy
BSET,10.511277,Consumer Cyclical
BSGM,-1.2769231,Healthcare
BSRR,7.9919353,Financial Services
BSX,27.223484,Healthcare
BTU,8.125926,Energy
BURL,19.579979,Consumer Cyclical
BUSE,9.670996,Financial Services
BV,14.240506,Industrials
BW,4.08,Industrials
BWA,7.533334,Consumer Cyclical
BWEN,7.3103447,Industrials
BWFG,6.5142045,Financial Services
BWXT,28.002922,Industrials
BXC,10.20186,Industrials
BXMT,9.235602,Real Estate
BXP,30.04369,Real Estate
BY,8.565218,Financial Services
BYD,8.144596,Consumer Cyclical
BYFC,,Financial Services
BYND,-3.5497384,Consumer Defensive
BZH,5.181146,Consumer Cyclical
C,8.518056,Financial Services
CABO,9.399761,Communication Services
CAC,9.489362,Financial Services
CACC,12.173459,Financial Services
CACI,17.442759,Technology
CADE,9.9175625,Financial Services
CAG,11.357934,Consumer Defensive
CAH,13.076142,Healthcare
CAKE,10.06414,Consumer Cyclical
CAL,7.366,Consumer Cyclical
CALA,-0.014814815,Healthcare
CALM,24.161573,Consumer Defensive
CALX,21.834646,Technology
CAMP,3.131313,Technology
CAPR,52.7,Healthcare
CAR,5.5558786,Industrials
CARA,-0.73715687,Healthcare
CARG,14.490322,Consumer Cyclical
CARS,24.573528,Consumer Cyclical
CASA,-0.175,Technology
CASH,7.418262,Financial Services
CASI,6.9235296,Healthcare
CASS,14.207236,Industrials
CASY,22.90896,Consumer Cyclical
CAT,14.712841,Industrials
CATC,9.8192,Financial Services
CATO,3.7076926,Consumer Cyclical
CATY,8.298795,Financial Services
CB,10.531131,Financial Services
CBAN,6.967949,Financial Services
CBAY,-30.933334,Healthcare
CBFV,9.741228,Financial Services
CBOE,20.195093,Financial Services
CBRE,15.627698,Real Estate
CBRL,11.5,Consumer Cyclical
CBSH,15.712644,Financial Services
CBT,12.019763,Basic Materials
CBU,12.41954,Financial Services
CBZ,22.96129,Industrials
CC,7.095491,Basic Materials
CCBG,9.539569,Financial Services
CCI,36.490273,Real Estate
CCK,12.1226,Consumer Cyclical
CCL,10.363637,Consumer Cyclical
CCNE,8.016878,Financial Services
CCO,-9.928572,Communication Services
CCOI,-20.570513,Communication Services
CCRN,14.789916,Healthcare
CCS,6.8027444,Consumer Cyclical
CDE,16.142857,Basic Materials
CDLX,30.625,Communication Services
CDMO,-84.77778,Healthcare
CDNA,-16.869566,Healthcare
CDNS,39.88857,Technology
CDTX,-9.007518,Healthcare
CDW,20.976583,Technology
CDXC,70.799995,Healthcare
CDXS,-4.279412,Healthcare
CDZI,-12.0,Utilities
CE,11.027279,Basic Materials
CEI,,Energy
CEIX,6.0987477,Energy
CELC,-4.6519175,Healthcare
CELH,46.27922,Consumer Defensive
CENT,16.646341,Consumer Defensive
CENTA,14.949368,Consumer Defensive
CENX,18.457447,Basic Materials
CERS,-27.833334,Healthcare
CETX,2.0727272,Technology
CEVA,40.54,Technology
CF,13.227806,Basic Materials
CFBK,8.324324,Financial Services
CFFI,,Financial Services
CFFN,9.734694,Financial Services
CFG,8.443069,Financial Services
