,2020_Close,2020_MarketCap,2021_Close,2021_MarketCap,2022_Close,2022_MarketCap,2023_Close,2023_MarketCap
A,117.38999938964844,40160256000,160.8800048828125,40160256000,149.64999389648438,40160256000,139.02999877929688,40160256000
AAPL,133.72000122070312,2630218678272,178.1999969482422,2630218678272,129.92999267578125,2630218678272,192.52999877929688,2630218678272
BRO,46.25,23259203584,69.80999755859375,23259203584,56.970001220703125,23259203584,71.11000061035156,23259203584
CRAI,50.61000061035156,1003384384,92.43000030517578,1003384384,122.43000030517578,1003384384,98.8499984741211,1003384384
CW,116.26000213623047,9700917248,137.64999389648438,9700917248,166.99000549316406,9700917248,222.7899932861328,9700917248
KEYS,131.24000549316406,25823815680,206.8000030517578,25823815680,171.07000732421875,25823815680,159.08999633789062,25823815680
LSTR,134.25999450683594,6237250560,178.3300018310547,6237250560,162.89999389648438,6237250560,193.64999389648438,6237250560
MSI,166.97999572753906,56504422400,271.0899963378906,56504422400,257.7099914550781,56504422400,313.0899963378906,56504422400
ROG,153.75999450683594,2221814528,273.0799865722656,2221814528,119.33999633789062,2221814528,132.07000732421875,2221814528
RPM,90.5,13766052864,99.93000030517578,13766052864,97.44999694824219,13766052864,111.62999725341797,13766052864
