Ticker,2023_MarketCap,Market_Cap_Cat,2023_PE,Gsector,Avg_PE_Gsector,2020_NI,2021_NI,2022_NI,2023_NI,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,Avg_NI_Growth
CCI,40794300416,large-cap,36.490273,Real Estate,15.224610275438597,1056000000.0,1096000000.0,1675000000.0,1502000000.0,3.7879,52.8285,-10.3284,15.429333333333332
COST,320609058816,mega-cap,41.49828,Consumer Defensive,16.821872174070794,4002000000.0,5007000000.0,5844000000.0,6292000000.0,25.1124,16.7166,7.666,16.498333333333335
ODFL,39540097024,large-cap,25.167591,Industrials,25.108453586713043,672682000.0,1034375000.0,1377159000.0,1239502000.0,53.7688,33.1392,-9.9957,25.637433333333334
TDG,69398331392,large-cap,33.38764,Industrials,25.108453586713043,699000000.0,680000000.0,866000000.0,1298000000.0,-2.7182,27.3529,49.8845,24.83973333333334
WAB,28412094464,large-cap,20.009937,Industrials,25.108453586713043,414000000.0,558000000.0,633000000.0,815000000.0,34.7826,13.4409,28.752,25.6585
