Ticker,2023_PE,Gsector,Avg_PE_Gsector
HOLX,17.259682,Healthcare,
HQY,21.738293,Healthcare,
HROW,17.271187,Healthcare,
HRTX,-8.285714,Healthcare,
HSIC,12.305506,Healthcare,
HSTM,42.95,Healthcare,
HUM,15.0668335,Healthcare,
IART,8.080333,Healthcare,
IBIO,-0.7125,Healthcare,
ICAD,-7.9444437,Healthcare,
ICCC,-44.636364,Healthcare,
ICUI,14.442477,Healthcare,
IDXG,-9.466666,Healthcare,
IDXX,38.830578,Healthcare,
ILMN,50.43033,Healthcare,
INCY,9.839319,Healthcare,
INFU,18.775,Healthcare,
INGN,-3.4693878,Healthcare,
INO,-3.377581,Healthcare,
INSM,-6.4712043,Healthcare,
INSP,389.7742,Healthcare,
INVA,15.418366,Healthcare,
IONS,-13.015772,Healthcare,
IOVA,-16.591549,Healthcare,
IQV,18.46773,Healthcare,
IRIX,-9.827586,Healthcare,
IRMD,23.748537,Healthcare,
IRTC,-64.08187,Healthcare,
IRWD,9.567902,Healthcare,
ISRG,50.424488,Healthcare,
ITCI,66.49074,Healthcare,
ITGR,18.512436,Healthcare,
JAGX,-0.41288462,Healthcare,
JAZZ,5.2738094,Healthcare,
JNJ,13.144546,Healthcare,
JYNT,30.615385,Healthcare,
KALA,-0.5930435,Healthcare,
KALV,-4.748954,Healthcare,
KIDS,-28.76699,Healthcare,
KNSA,34.03636,Healthcare,
KOD,-0.722973,Healthcare,
KPTI,-1.019802,Healthcare,
KRYS,36.28436,Healthcare,
KURA,-7.97561,Healthcare,
KZR,-0.6596,Healthcare,
LGND,12.480357,Healthcare,
LH,12.625078,Healthcare,
LIFE,-1.6526316,Healthcare,
LIVN,16.79217,Healthcare,
LLY,42.941174,Healthcare,
LMAT,35.217392,Healthcare,
LNTH,9.976012,Healthcare,
LPCN,-8.105263,Healthcare,
LQDA,-37.794117,Healthcare,
LXRX,-2.3333333,Healthcare,
MACK,-8.280899,Healthcare,
MASI,34.375957,Healthcare,
MBIO,-0.04920635,Healthcare,
MBOT,-1.4414062,Healthcare,
MCK,17.323767,Healthcare,
MCRB,-1.23825,Healthcare,
MD,6.875969,Healthcare,
MDGL,-13.88836,Healthcare,
MDRX,10.376623,Healthcare,
MDT,14.722936,Healthcare,
MEDP,29.667685,Healthcare,
MEIP,-0.52136755,Healthcare,
MGNX,-8.211111,Healthcare,
MLSS,-12.4,Healthcare,
MMSI,20.357141,Healthcare,
MNKD,16.44,Healthcare,
MNOV,-5.375,Healthcare,
MOH,12.860902,Healthcare,
MOTS,-0.004327449,Healthcare,
MRK,13.078947,Healthcare,
MRKR,-1.1911765,Healthcare,
MRNS,-1.0930233,Healthcare,
MRSN,-4.342466,Healthcare,
MTD,27.65857,Healthcare,
MTEM,-0.42239183,Healthcare,
MTNB,-1.6881819,Healthcare,
MYGN,85.08695,Healthcare,
NAVB,-0.225,Healthcare,
NBIX,21.457098,Healthcare,
NBY,4.04,Healthcare,
NEO,99.42857,Healthcare,
NEOG,22.41818,Healthcare,
NERV,-0.5198018,Healthcare,
NHC,211.32558,Healthcare,
NKTR,-2.056338,Healthcare,
NNVC,-1.0810812,Healthcare,
NRC,29.525864,Healthcare,
NSTG,-0.06343374,Healthcare,
NTLA,-3.8979964,Healthcare,
NTRA,-78.050415,Healthcare,
NURO,10.924999,Healthcare,
NVAX,-108.25,Healthcare,
NVRO,-4.7657657,Healthcare,
OCUL,-5.3863635,Healthcare,
OCX,-1.2575758,Healthcare,
OFIX,inf,Healthcare,
OGEN,-0.09583333,Healthcare,
OMCL,18.748253,Healthcare,
OMER,-1.7597766,Healthcare,
OMI,12.558375,Healthcare,
ONTX,-1.1573255,Healthcare,
ONVO,-0.78102195,Healthcare,
OPGN,-1.3896552,Healthcare,
OPK,-4.692308,Healthcare,
OPRX,17.288136,Healthcare,
OPTN,-9.122222,Healthcare,
ORGO,39.166664,Healthcare,
OSUR,-22.041668,Healthcare,
PACB,-2.012195,Healthcare,
PAHC,13.577236,Healthcare,
PBH,15.49892,Healthcare,
PBYI,29.82353,Healthcare,
PCRX,7.3735957,Healthcare,
PDCO,10.353658,Healthcare,
PDEX,13.405797,Healthcare,
PEN,51.164062,Healthcare,
PETQ,10.394904,Healthcare,
PETS,-395.0,Healthcare,
PFE,9.384616,Healthcare,
PHIO,-0.19522472,Healthcare,
PINC,8.923077,Healthcare,
PLSE,-8.188889,Healthcare,
PODD,45.486774,Healthcare,
PRGO,11.108843,Healthcare,
PRPH,9.604167,Healthcare,
PRTA,-4.924939,Healthcare,
PTCT,-7.4593973,Healthcare,
PTGX,-31.0,Healthcare,
PTN,-1.9375,Healthcare,
PULM,-0.42224443,Healthcare,
QDEL,11.201657,Healthcare,
QTRX,-18.11236,Healthcare,
RARE,-8.491017,Healthcare,
RCKT,-11.695652,Healthcare,
RCM,45.518517,Healthcare,
RCUS,-3.6261904,Healthcare,
RDNT,63.815792,Healthcare,
REGN,18.69171,Healthcare,
