,2020_NI,2021_NI,2022_NI,2023_NI,2024_NI
ALK,-1324000000.0,478000000.0,58000000.0,,
ALKS,-110861000.0,-48169000.0,-158267000.0,355757000.0,
ALL,5576000000.0,1614000000.0,-1289000000.0,-188000000.0,
ALLE,314300000.0,483000000.0,458000000.0,540400000.0,
ALLK,-153480000.0,-269860000.0,-319952000.0,-185701000.0,
ALLO,-316381000.0,-182051000.0,-340414000.0,-327265000.0,
ALLY,1085000000.0,3060000000.0,1714000000.0,1020000000.0,
ALNY,-858281000.0,-852824000.0,-1131156000.0,-440242000.0,
ALOT,,1284000.0,6429000.0,2661000.0,4694000.0
ALPN,-27940000.0,-50333000.0,-57762000.0,-32184000.0,
ALRM,77853000.0,52259000.0,56338000.0,81043000.0,
ALSN,299000000.0,442000000.0,531000000.0,0,
ALT,-49044477.0,-97090000.0,-84713000.0,-88447000.0,
ALTM,-16300000.0,600000.0,273500000.0,,
ALTR,-10500000.0,-8794000.0,-43429000.0,-8926000.0,
ALV,187000000.0,435000000.0,423000000.0,488000000.0,
ALX,41939000.0,132930000.0,57632000.0,102413000.0,
AM,-122527000.0,331617000.0,326242000.0,0,
AMAL,46188000.0,52937000.0,81477000.0,87978000.0,
AMAT,3619000000.0,5888000000.0,6525000000.0,6856000000.0,
AMBC,-437000000.0,-17000000.0,521000000.0,4000000.0,
AMC,-4589100000.0,-1269100000.0,-973600000.0,-396600000.0,
AMCX,239979000.0,250596000.0,7594000.0,215464000.0,
AMD,2490000000.0,3162000000.0,1320000000.0,854000000.0,
AME,872439000.0,990053000.0,1159542000.0,1313188000.0,
AMED,183608000.0,209072000.0,118609000.0,-9747000.0,
AMG,202200000.0,565700000.0,1145900000.0,672900000.0,
AMGN,7264000000.0,5893000000.0,6552000000.0,6717000000.0,
AMH,140374000.0,189092000.0,273138000.0,380168000.0,
AMKR,338138000.0,642995000.0,765823000.0,359813000.0,
AMN,70665000.0,327388000.0,444050000.0,210679000.0,
AMNB,30045000.0,43526000.0,34428000.0,26159000.0,
AMP,1534000000.0,3417000000.0,3149000000.0,2556000000.0,
AMPE,-15894000.0,-17075000.0,-16337000.0,-8632000.0,
AMPH,1403000.0,62116000.0,91386000.0,137545000.0,
AMRC,54052000.0,70458000.0,94926000.0,62470000.0,
AMRK,30509000.0,159637000.0,132536000.0,156360000.0,
AMRX,91059000.0,10624000.0,-129986000.0,-83993000.0,
AMS,-7058000.0,194000.0,1328000.0,610000.0,
AMSC,,-22678000.0,-19193000.0,-35041000.0,
AMSF,86602000.0,65756000.0,55602000.0,62108000.0,
AMSWA,,8089000.0,12782000.0,10421000.0,
AMT,1690600000.0,2567700000.0,1765800000.0,1483300000.0,
AMTD,146918158.23589,156730639.030733,157801070.710949,,
AMTX,-36659000.0,-47147000.0,-107758000.0,-46420000.0,
AMWD,,61193000.0,-29722000.0,93723000.0,
AMZN,21331000000.0,33364000000.0,-2722000000.0,30425000000.0,
