Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
AMC,-72.3453,-23.2842,-59.2646,-3.6625001
AMCX,4.4241,-96.9696,2737.2926,2.0344827
AMD,26.988,-58.2543,-35.303,28.640144
AME,13.4811,17.1192,13.2506,23.319094
AMED,13.8687,-43.2688,-108.2178,18.373253
AMG,179.7725,102.5632,-41.2776,6.3096204
AMGN,-18.8739,11.1828,2.5183,13.044762
AMH,34.7059,44.4471,39.1853,51.884056
AMKR,90.1576,19.1025,-53.0162,13.88412
AMN,363.2958,35.6342,-52.5551,13.124726
AMNB,44.8694,-20.9024,-24.0182,19.899998
AMP,122.751,-7.8431,-18.8314,10.793971
AMPE,7.4305,-4.3221,-47.1629,-2.7888887
AMPH,4327.3699,47.1215,50.5099,9.63785
AMRC,30.3523,34.7271,-34.1908,10.361386
AMRK,423.2456,-16.9766,17.9755,7.4341373
AMRX,-88.3328,-1323.5128,-35.383,9.166667
AMS,-102.7487,584.5361,-54.0663,7.24881
AMSC,,-15.3673,82.5718,308.75003
AMSF,-24.071,-15.4419,11.701,18.92116
AMSWA,,58.0171,-18.4713,26.605263
AMT,51.881,-31.2303,-15.9984,23.278154
AMTD,6.6789,0.683,,
AMTX,28.6096,128.5575,-56.922,-7.8
AMWD,,-148.5709,-415.3321,10.118681
AMZN,56.4109,-108.1585,-1217.7443,33.081287
AN,259.8008,0.3205,-25.8676,8.04945
ANAB,189.9804,122.7213,27.1084,-4.083893
ANDE,1248.716,26.0554,-22.8029,14.159793
ANET,32.5104,60.842,54.3367,29.832556
ANF,,-330.668,-98.9293,15.021013
ANGI,1036.0497,79.9574,-68.1277,35.166664
ANGO,-81.0849,-15.852,97.544,-11.816326
ANIK,-117.2379,-459.434,456.343,63.14634
ANIP,88.9436,12.424,-139.2079,13.173652
ANIX,29.3027,4.9483,-27.8338,-6.6000004
ANSS,4.78,15.1955,-4.4486,30.334267
AON,-36.2621,106.2948,-0.9656,16.068947
AOS,41.2293,-51.6116,136.1476,18.999998
AOSL,-981.0794,679.756,-97.2716,27.000002
AP,-148.4442,-188.4745,-1268.8525,8.913043
APA,-123.7249,217.533,-20.7825,5.8656716
APAM,58.2733,-38.5601,7.5132,11.369445
APD,11.2578,7.4794,1.9547,17.597914
APDN,9.6661,-42.1277,20.3095,-0.37735847
APEI,-5.6848,-747.7749,-58.8792,14.40625
APH,32.1921,19.5813,1.351,31.615183
APLE,-110.8702,669.0939,22.571,17.57143
APLS,116.4135,-12.6189,-18.9435,40.916664
APOG,,-77.4164,2886.4314,12.685832
APPF,-99.351,-6726.3619,-103.9666,43.611538
APPN,164.7818,70.2598,-26.1589,-288.0
APPS,,-35.2343,-53.0946,4.2444444
APT,-74.8735,-51.421,27.6356,5.1465516
APTV,-67.2949,0.678,394.6128,9.916202
APVO,60.3211,-128.2075,-316.9054,-0.08806691
APYX,27.5387,52.8078,-19.2849,-2.0428572
AQB,36.1135,-0.7409,,-0.61935484
AQMS,-29.3805,-15.1817,55.1293,-6.7000003
AR,-85.2591,-1115.9343,-87.2065,12.367272
ARAY,-264.9072,-15.2749,73.5553,16.384617
ARC,47.7537,21.3387,-25.7707,8.250001
ARCB,200.3108,39.6626,-34.4644,8.76759
ARCH,-197.9566,294.2596,-65.1339,6.9793406
ARDX,67.7022,-57.5083,-1.6963,160.0
ARE,-25.9044,-8.6805,-80.1328,30.412075
ARES,168.7207,-59.0201,183.1104,21.64065
ARI,1116.2758,18.6641,-78.0845,7.766129
ARKR,-375.064,-28.0264,-163.8724,
ARL,-62.9347,11054.7356,-98.9372,
ARLO,-44.6633,1.0655,-61.085,21.344828
ARMK,-80.3191,-314.1116,246.6136,16.242268
AROC,-141.2258,56.9834,137.0372,16.262712
AROW,22.1177,-2.1221,-38.3696,8.403773
ARR,-107.1419,-1596.6478,-70.4593,4.265258
ARTNA,0.0595,6.9591,-7.2175,16.657143
ARTW,-110.1085,-54.0062,172.9828,
ARVN,60.1006,47.9058,30.0177,-5.70377
ARW,89.6175,28.7573,-36.6799,7.989362
ARWR,66.5795,25.0021,16.5918,-8.503759
ASB,14.4156,4.31,-50.0287,8.890296
ASGN,104.643,-34.5938,-18.2022,16.048252
ASH,-143.3071,321.3636,-80.7983,16.695272
ASIX,203.3856,22.9593,-68.2214,6.072116
ASMB,108.9313,-28.3108,-34.2285,-0.7912437
ASPN,70.0857,123.0495,-44.6312,23.727272
ASPS,-117.5889,-552.235,5.3765,-6.419355
ASRT,-95.4484,-8657.7674,-402.7977,inf
ASRV,53.806,5.3167,-144.9248,
ASTC,-8.5188,9.562,15.7503,-13.455882
ASTE,-65.6522,-100.6329,-33600.0,13.483871
ASUR,-119.5757,-553.0536,-36.3058,10.263888
ASYS,-109.591,1051.6578,-172.4477,24.1
ATEC,81.0669,5.7756,23.362,-16.605263
ATEN,432.5943,-50.5644,-14.7907,15.011495
ATGE,-182.0622,344.1016,-69.9805,9.61628
ATI,-111.7385,75.2438,26.9861,19.966555
ATKR,285.9811,55.3837,-24.4719,9.738889
ATLC,89.0161,-23.7799,-24.1539,4.191759
ATLO,26.8594,-19.32,-43.933,
ATNI,56.5501,-74.4663,157.5376,63.6
ATNM,11.5192,33.2728,47.8572,-70.0
ATO,10.661,16.3523,14.3936,16.699717
ATOS,15.5822,30.8357,,-5.0333333
ATR,14.0427,-1.9701,18.889,24.893103
ATRA,10.9324,-32.8802,20.9477,-1.5
ATRC,-204.2446,-192.5636,-34.494,-42.315792
ATRI,2.927,5.9083,-44.5527,
ATRO,-77.9083,39.7568,-26.0889,14.582609
ATSG,620.5979,-14.1902,-69.621,12.82
ATUS,127.0403,-80.3533,-72.6577,7.423077
AUBN,7.8481,28.6976,-86.5165,
AUMN,-76.9425,372.8401,-6.8443,-1.2056098
AVA,13.782,5.3226,10.3135,13.945737
AVAV,,-117.9504,4107.5454,46.859234
AVB,21.3464,13.1909,-18.293,34.847427
AVD,21.9459,47.4364,-72.5624,11.39
AVGO,127.5676,70.6502,22.5054,22.811754
AVGR,-8.3868,1.2118,3.9551,-0.42988506
AVNS,-123.1618,701.5873,-222.3762,9.772973
AVNW,42755.642,-80.7879,-45.5198,8.040866
AVRO,-0.4895,-11.1109,-111.4808,-3.6060607
AVT,-721.3249,258.5338,11.3304,8.227272
AVTR,391.0806,19.8917,-53.2265,19.699186
AVXL,44.2478,26.561,-0.9859,-5.7031255
AVY,33.1355,2.297,-33.5623,20.614801
AWI,-284.8638,10.7533,10.3006,17.783281
AWK,78.1382,-35.0752,15.122,21.535212
AWR,9.1663,-16.9067,59.3461,21.59756
AWRE,-23.5093,-70.364,323.7543,-15.076924
AX,17.5912,11.594,27.6047,7.2715516
AXDX,-0.647,-19.5735,-1.4002,-0.454433
AXGN,13.4491,7.2744,-24.9827,37.70588
AXL,-101.0511,989.8305,-152.2551,13.849057
AXNX,45.8017,-25.4399,-89.802,79.25
AXP,157.0973,-6.7742,11.4453,15.685657
AXR,,114.5833,37.3723,
AXS,-613.6925,-63.938,68.678,5.807765
AXSM,26.7272,43.5044,27.8431,59.96748
AXTA,117.023,-27.3967,39.5616,14.623256
AXTI,350.1235,8.4803,-213.0922,16.666666
AYI,23.3588,25.3673,-9.8958,14.966847
AYX,638.4918,77.2222,-43.8871,28.222221
AZO,25.2365,11.9471,4.0674,17.706175
AZPN,39.244,,,27.042582
AZZ,,112.1018,-163.0478,12.655477
B,57.5905,-86.5039,18.6735,16.148836
BA,-64.8103,17.4441,-54.9747,27.246754
BAC,78.7079,-13.9158,-3.6799,10.396067
BAH,,-23.3543,-41.7682,25.028812
BANC,4727.0956,-30.2073,-548.3189,6.7772274
BAND,-37.7811,-171.5225,-183.5105,11.446541
BANF,68.3269,15.1942,10.0285,15.980287
BANR,73.4249,-2.8202,-6.016,8.778672
BATRA,-85.8974,210.6545,266.6569,-96.04762
BATRK,-85.8974,210.6545,266.6569,-155.95834
BAX,16.5154,-289.486,-209.1656,12.498451
BBCP,-75.3914,-290.2475,10.8593,9.366198
BBGI,-92.0868,2891.6122,78.6132,-4.857143
BBSI,12.7765,24.1314,7.0746,14.144354
BBW,,-305.652,1.5233,7.854167
BBY,,36.485,-42.176,10.958334
BC,59.1897,14.1075,-37.9025,9.42056
BCBP,64.1655,33.1162,-35.3145,6.1168833
BCC,307.1837,20.3754,-43.6074,11.276216
BCLI,-23.1178,-0.736,,-1.3482143
BCO,557.5,62.1673,-48.5932,8.888211
BCOV,-192.8436,-267.0372,153.8658,-178.0
BCPC,13.5672,9.6385,3.0142,29.639414
BCRX,0.6827,34.2569,-8.3269,-11.8
BDC,-215.8859,298.3778,-4.6744,11.132876
BDL,961.6216,-46.4358,-36.6445,
BDN,-95.9778,337.9852,-465.6157,-13.757575
BDSI,230.0533,,,8.873016
BDX,139.3593,-14.9618,-16.5823,16.348433
BE,4.3744,83.288,0.2349,26.500002
BEAT,314.6067,192.7281,12.9378,-3.4067798
BECN,-43.7577,-1107.4725,-5.1047,11.799999
BELFA,93.9898,112.2759,40.126,12.280703
BELFB,93.9898,112.2759,40.126,10.504472
BEN,129.2152,-29.4506,-31.6665,8.099291
BERY,31.127,4.502,-20.4961,6.824096
BFAM,161.0366,14.451,-7.9587,26.255695
BFIN,-19.1313,41.6194,-10.4917,11.376471
BFS,19.8281,3.7302,4.9707,33.1
BFST,73.8214,4.0644,30.9428,7.7061076
BG,81.4847,-22.5217,39.3168,10.362526
BGFV,83.0282,-74.475,-127.1026,-23.599998
BGS,-48.9628,-116.8787,482.2164,11.935484
BGSF,878.7938,79.7505,-140.3099,9.117021
BH,-193.3902,-190.2475,-271.616,-26.45772
BHB,18.2138,10.8349,2.9731,9.021583
BHE,154.5002,90.7436,-5.7366,12.381146
BHF,-254.8539,136.0925,-128.6672,2.4270625
BHLB,-122.2627,-22.021,-24.7858,8.773663
BHR,-74.6689,-166.6104,-252.1142,-3.2500002
BHVN,80.1631,166.7398,-28.4266,-6.6552315
BIG,,-71.745,-218.5231,-0.5301205
BIIB,-61.1033,95.8036,-61.8924,12.374424
BIO,11.5365,-185.2684,-82.4309,22.479166
BIOL,-3.9872,77.2125,-27.9458,-1.3481818
BJ,,1.3353,20.28,17.327147
BJRI,-93.7704,-213.0338,382.3356,21.872482
BK,3.9259,-31.5509,27.7108,9.306425
BKD,-221.0573,140.1319,-20.7258,-11.706897
BKE,,95.806,-0.0761,9.119513
BKH,3.9946,9.1677,1.4706,13.325243
BKNG,1874.5763,162.4893,40.2551,16.836706
BKSC,4.3995,-1.3303,,
BKTI,-976.8041,583.8918,-80.8304,4.158757
BKU,109.7436,-31.3296,-37.302,8.432177
BL,145.4883,-74.4783,-279.7591,26.999998
BLBD,-102.3718,15733.564,-152.0379,13.234941
BLCM,25.6799,157.321,,-0.07786459
BLD,31.1684,71.5931,10.4795,17.756472
BLDR,450.307,59.3453,-43.967,12.625691
BLFS,-549.2184,1469.432,-52.486,-38.97778
BLK,19.6472,-12.2522,6.2572,16.111017
BLKB,-26.163,-896.8936,-104.0082,16.065979
BLMN,-235.8126,-52.7234,142.7566,9.243728
BLUE,32.4365,-67.4658,,-0.5509938
BMI,23.3893,9.2175,39.2535,39.765217
BMRC,9.8737,40.201,-57.294,9.385621
BMRN,-107.5033,-320.9129,18.426,30.590908
BMY,-177.5818,-9.5367,26.8374,6.3041606
BNED,,-50.7496,47.9327,-0.5497297
BOH,64.7369,-10.8804,-24.1811,15.117333
BOKF,42.087,-15.8299,2.013,10.48818
BOOM,227.6204,-406.6148,50.7967,6.6041665
BOOT,,224.0663,-11.378,20.593811
BOTJ,52.3896,18.0524,-2.8463,
BOX,,-4.5449,-164.6012,14.141304
BPMC,-305.1997,-13.4405,-9.0639,-32.856113
BPOP,84.5338,17.9435,-50.905,7.649865
BPRN,62.8712,17.8244,-2.7516,8.701492
BPTH,-4.0618,32.8352,15.936,-0.1537208
BR,18.3784,-1.5342,16.9727,22.647541
BRC,15.3868,15.6719,16.5877,13.501144
BRID,-175.1468,-918.9351,-92.2913,
BRKL,142.3428,-4.9342,-31.66,8.137256
BRKR,75.602,7.0372,44.0324,23.011799
BRN,-231.476,-11.8343,-117.4315,
BRO,22.1852,14.4268,29.5773,21.234375
BRT,-246.5814,71.5841,-92.247,-36.612244
BRX,122.9762,31.0918,-13.8642,23.263159
BRY,-94.0881,-1709.6255,-85.05,8.40594
BSET,-273.1312,262.1827,-104.8527,10.511277
BSGM,-38.8774,-15.2427,7.3525,-1.2769231
BSRR,21.352,-21.7451,3.5206,7.9919353
BSX,-1369.5122,-32.9491,128.2235,27.223484
BTU,-119.2536,260.2055,-41.4386,8.125926
BURL,,-288.8411,-43.7131,19.579979
BUSE,23.0258,3.9385,-4.4782,9.670996
BV,-211.2981,-69.7624,-155.0,14.240506
BW,-399.4185,-173.9982,762.6394,4.08
BWA,7.4,75.7914,-33.7924,7.533334
BWEN,-291.4593,-441.7633,-178.6125,7.3103447
BWFG,350.3049,40.7846,-2.0465,6.5142045
BWXT,9.761,-22.127,3.2151,28.002922
BXC,266.1297,0.0145,-83.6124,10.20186
BXMT,204.4912,-40.6856,-0.8394,9.235602
BXP,-42.1131,68.0434,-77.594,30.04369
BY,147.6446,-5.2067,22.6528,8.565218
BYD,-444.3549,37.8425,-3.027,8.144596
BYFC,530.8411,-239.1605,,
BYND,245.2097,101.0582,-7.6455,-3.5497384
BZH,133.6403,80.8738,-28.1341,5.181146
C,98.7146,-32.3752,-37.8377,8.518056
CABO,-4.1286,-19.7742,14.2313,9.399761
CAC,16.0172,-10.976,-29.3885,9.489362
CACC,127.6247,-44.0885,-46.6032,12.173459
CACI,42.2928,-19.8165,4.8913,17.442759
CADE,-14.4218,137.3602,17.0684,9.9175625
CAG,54.6006,-31.6138,-23.0354,11.357934
CAH,-116.5314,-252.7005,-127.9743,13.076142
CAKE,-128.5647,-40.4156,135.0277,10.06414
CAL,,-131.2035,32.64,7.366
CALA,27.6812,-65.5481,,-0.014814815
CALM,-88.7989,6339.3204,471.4467,24.161573
CALX,611.9161,-82.7962,-28.4931,21.834646
CAMP,,-50.2904,16.073,3.131313
CAPR,46.6096,44.9345,-23.1981,52.7
CAR,-287.8655,115.0973,-40.9551,5.5558786
CARA,-1151.6171,-3.3548,38.6539,-0.73715687
CARG,40.8637,-22.7537,-56.2231,14.490322
CARS,-101.3206,59.4477,588.3761,24.573528
CASA,-87.0691,-2569.7537,,-0.175
CASH,35.3209,10.3579,4.6225,7.418262
CASI,-24.0914,11.895,-34.32,6.9235296
CASS,13.6161,22.0249,-13.8809,14.207236
CASY,,8.5938,31.4609,22.90896
CAT,116.4443,3.3287,54.1387,14.712841
CATC,69.0416,-2.0639,-35.5327,9.8192
CATO,,-177.5941,-99.9213,3.7076926
CATY,30.3434,20.8975,-1.8073,8.298795
CB,141.2963,-38.4633,72.093,10.531131
CBAN,57.9264,4.7323,11.2834,6.967949
CBAY,76.5151,17.7815,-0.5953,-30.933334
CBFV,-208.7406,-2.7917,100.4979,9.741228
CBOE,12.9859,-55.5766,224.0,20.195093
CBRE,144.2855,-23.4077,-29.9218,15.627698
CBRL,-883.7198,-48.1834,-24.8938,11.5
CBSH,49.9095,-7.9821,-2.3217,15.712644
CBT,-205.042,-16.4,112.9187,12.019763
CBU,15.1923,-0.8503,-29.8579,12.41954
CBZ,-9.4663,48.6225,14.8205,22.96129
CC,177.6256,-4.9342,-141.1765,7.095491
CCBG,5.7639,0.0479,56.4049,9.539569
CCI,3.7879,52.8285,-10.3284,36.490273
CCK,-196.7185,-229.8214,-38.1018,12.1226
CCL,-7.1805,-35.8699,-98.7855,10.363637
CCNE,76.2423,9.498,-8.1788,8.016878
CCO,-25.5559,-77.7315,221.8521,-9.928572
CCOI,675.177,-89.3203,24646.2301,-20.570513
CCRN,-1118.3768,42.7713,-61.461,14.789916
CCS,141.8079,5.3404,-50.6358,6.8027444
CDE,-222.2227,149.3679,32.6539,16.142857
CDLX,131.9747,261.8901,-71.0483,30.625
CDMO,,1038.7085,-99.5614,-84.77778
CDNA,63.8452,149.863,148.3704,-16.869566
CDNS,17.8299,21.9837,22.6387,39.88857
CDTX,-41.1088,-20.9174,-31.7205,-9.007518
CDW,25.3773,12.7352,-0.9152,20.976583
CDXC,36.1506,-39.0298,-70.1451,70.799995
CDXS,-11.3744,57.8646,126.9588,-4.279412
CDZI,-17.3679,-20.6631,26.8393,-12.0
CE,-4.7859,0.2116,3.4847,11.027279
CEI,-76.6326,6.4993,111.6372,
CEIX,-449.6668,1269.0384,40.4543,6.0987477
CELC,212.4838,36.361,57.9863,-4.6519175
CELH,-53.8128,-4856.9723,-221.1013,46.27922
CENT,25.7466,0.2676,-17.4227,16.646341
CENTA,25.7466,0.2676,-17.4227,14.949368
CENX,35.5231,-91.5619,205.6738,18.457447
CERS,-9.1602,-21.3245,-12.3659,-27.833334
