Ticker,2023_MarketCap,Market_Cap_Cat
ATEN,972907328,small-cap
ATGE,1944513536,small-cap
ATI,7429068288,mid-cap
ATKR,6445483008,mid-cap
ATLC,391552576,small-cap
ATLO,173099280,micro-cap
ATNI,295381280,small-cap
ATNM,229332176,micro-cap
ATO,17784035328,large-cap
ATOS,189209040,micro-cap
ATR,9567138816,mid-cap
ATRA,82357712,micro-cap
ATRC,1166795392,small-cap
ATRI,744922688,small-cap
ATRO,580010560,small-cap
ATSG,842067584,small-cap
ATUS,880074176,small-cap
AUBN,64668388,micro-cap
AUMN,7203582,micro-cap
AVA,2813132288,mid-cap
AVAV,4495803392,mid-cap
AVB,26953822208,large-cap
AVD,327976192,small-cap
AVGO,602572390400,mega-cap
AVGR,5933248,micro-cap
AVNS,835370112,small-cap
AVNW,419707200,small-cap
AVRO,53404584,micro-cap
AVT,4416069120,mid-cap
AVTR,16458614784,large-cap
AVXL,299710624,small-cap
AVY,17495472128,large-cap
AWI,5032697344,mid-cap
AWK,23830626304,large-cap
AWR,2637295104,mid-cap
AWRE,41326600,micro-cap
AX,2879638272,mid-cap
AXDX,19099336,micro-cap
AXGN,280146464,small-cap
AXL,862743616,small-cap
AXNX,3395296256,mid-cap
AXP,168338472960,large-cap
AXR,106923256,micro-cap
AXS,5193878528,mid-cap
AXSM,3503105792,mid-cap
AXTA,6937047552,mid-cap
AXTI,132744600,micro-cap
AYI,7647118848,mid-cap
AYX,3527897856,mid-cap
AZO,51154292736,large-cap
AZPN,12510852096,large-cap
AZZ,1798041856,small-cap
B,1760189440,small-cap
BA,103034290176,large-cap
BAC,291152822272,mega-cap
BAH,19159590912,large-cap
BANC,2313801472,mid-cap
BAND,491012352,small-cap
BANF,2939640576,mid-cap
BANR,1500662656,small-cap
BATRA,2352080128,mid-cap
BATRK,2354115072,mid-cap
BAX,20562337792,large-cap
BBCP,358251456,small-cap
BBGI,20623788,micro-cap
BBSI,794184768,small-cap
BBW,421642816,small-cap
BBY,15860656128,large-cap
BC,5476932096,mid-cap
BCBP,159734944,micro-cap
BCC,5233064448,mid-cap
BCLI,25799068,micro-cap
BCO,3911622144,mid-cap
BCOV,79043568,micro-cap
BCPC,4584034816,mid-cap
BCRX,852147072,small-cap
BDC,3304779520,mid-cap
BDL,50183552,micro-cap
BDN,784448448,small-cap
BDSI,577050112,small-cap
BDX,67776413696,large-cap
BE,2512964864,mid-cap
BEAT,52921288,micro-cap
BECN,6303545344,mid-cap
BELFA,778126976,small-cap
BELFB,771034752,small-cap
BEN,12026585088,large-cap
BERY,6566105088,mid-cap
BFAM,6015325184,mid-cap
BFIN,120494968,micro-cap
BFS,1221996032,small-cap
BFST,514548224,small-cap
BG,14408708096,large-cap
BGFV,79433704,micro-cap
BGS,877471744,small-cap
BGSF,93659816,micro-cap
BH,609020608,small-cap
BHB,381516960,small-cap
BHE,1088846976,small-cap
BHF,3015567104,mid-cap
BHLB,925607808,small-cap
BHR,232345936,micro-cap
BHVN,3424425728,mid-cap
BIG,103884352,micro-cap
BIIB,31277146112,large-cap
BIO,7706730496,mid-cap
BIOL,4931998,micro-cap
BJ,9929527296,mid-cap
BJRI,761530560,small-cap
BK,42244128768,large-cap
BKD,1285611904,small-cap
BKE,1898716544,small-cap
BKH,3749093888,mid-cap
BKNG,117438062592,large-cap
BKSC,67137688,micro-cap
BKTI,49549512,micro-cap
BKU,1998249216,small-cap
BL,3587635200,mid-cap
BLBD,1061104896,small-cap
BLCM,778326,micro-cap
BLD,12874535936,large-cap
