Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
AIN,20.1737,-19.1732,16.0377,18.006369,5.6794,Not Ideal
AINC,-95.3264,-136.7355,-226.9336,0.7156662,-152.9985,Not Ideal
AIR,713.6364,119.8324,14.6125,16.781403,282.69376666666665,Not Ideal
AIRG,207.6243,-14.1568,43.527,16.164375,78.99816666666668,Not Ideal
AIRI,48.4489,-166.134,98.0483,-12.423684,-6.545599999999993,Not Ideal
AIRT,,-250.1718,-212.5092,,-231.3405,Not Ideal
AIT,502.1005,77.8249,34.7009,18.0572,204.87543333333335,Not Ideal
AIV,17.2386,-1381.3198,-319.4702,-46.82353,-561.1838,Not Ideal
AIZ,208.9383,-79.6886,132.2849,10.323449,87.1782,Not Ideal
AJG,10.7474,22.8716,-12.9869,20.61474,6.877366666666667,Not Ideal
AJX,46.8803,-135.8643,213.5767,7.866667,41.5309,Not Ideal
AKAM,16.98,-19.6381,4.5748,13.800819,0.6388999999999996,Not Ideal
AKBA,-26.7167,-66.5894,-44.8931,-3.953125,-46.066399999999994,Not Ideal
AKR,-362.344,-250.5223,-156.0671,48.657146,-256.3111333333333,Not Ideal
AKTS,22.1804,33.6783,7.6745,-1.6764705,21.177733333333332,Ideal 20% - 25%
AL,-15.4247,-122.221,-733.4742,9.706215,-290.37330000000003,Not Ideal
ALB,-67.0879,2074.9596,-41.5025,13.532022,655.4564,Not Ideal
ALCO,47.3206,-64.2589,-85.2717,60.170216,-34.07,Not Ideal
ALDX,53.8496,7.3531,-39.4716,-13.862069,7.2437,Not Ideal
ALE,-2.8703,11.8794,30.5335,14.2139435,13.180866666666667,Not Ideal
ALEC,-80.9024,266.952,-2.1896,-2.9774013,61.28666666666666,Not Ideal
ALEX,532.1429,-242.9379,-158.8933,21.946665,43.437233333333346,Not Ideal
ALG,38.8226,27.021,33.5855,14.93988,33.143033333333335,Not Ideal
ALGN,-56.5277,-53.1653,23.088,26.912605,-28.86833333333334,Not Ideal
ALGT,-182.4871,-98.3583,4617.0477,6.77445,1445.4007666666666,Not Ideal
ALIM,-18.112,314.1583,11.1835,18.4625,102.40993333333331,Not Ideal
ALK,-136.1027,-87.8661,,7.0023847,-111.9844,Not Ideal
