,2020_Close,2020_MarketCap,2021_Close,2021_MarketCap,2022_Close,2022_MarketCap,2023_Close,2023_MarketCap
CCI,156.38999938964844,41068351488,207.9199981689453,41068351488,135.63999938964844,41068351488,115.19000244140625,41068351488
COST,374.45001220703125,320402817024,563.9099731445312,320402817024,456.5,320402817024,660.0800170898438,320402817024
JNPR,22.200000762939453,11379454976,35.380001068115234,11379454976,31.959999084472656,11379454976,29.479999542236328,11379454976
ODFL,96.80999755859375,39850176512,178.13499450683594,39850176512,141.88999938964844,39850176512,202.6649932861328,39850176512
TDG,616.1400146484375,69637431296,634.4099731445312,69637431296,629.6500244140625,69637431296,1011.5999755859375,69637431296
TSCO,142.75999450683594,29521022976,236.72000122070312,29521022976,224.97000122070312,29521022976,215.02999877929688,29521022976
WAB,72.4000015258789,28440317952,91.80999755859375,28440317952,99.80999755859375,28440317952,126.9000015258789,28440317952
