,2020_Close,2020_MarketCap,2021_Close,2021_MarketCap,2022_Close,2022_MarketCap,2023_Close,2023_MarketCap
A,117.38999938964844,40311181312,160.8800048828125,40311181312,149.64999389648438,40311181312,139.02999877929688,40311181312
BRO,46.25,23414663168,69.80999755859375,23414663168,56.970001220703125,23414663168,71.11000061035156,23414663168
CRAI,50.61000061035156,1009124352,92.43000030517578,1009124352,122.43000030517578,1009124352,98.8499984741211,1009124352
CW,116.26000213623047,9770204160,137.64999389648438,9770204160,166.99000549316406,9770204160,222.7899932861328,9770204160
KEYS,131.24000549316406,25923311616,206.8000030517578,25923311616,171.07000732421875,25923311616,159.08999633789062,25923311616
LSTR,134.25999450683594,6270151680,178.3300018310547,6270151680,162.89999389648438,6270151680,193.64999389648438,6270151680
MDLZ,58.0,97131831296,65.75,97131831296,66.6500015258789,97131831296,72.43000030517578,97145290752
MSI,166.97999572753906,56870961152,271.0899963378906,56870961152,257.7099914550781,56870961152,313.0899963378906,56870961152
ROG,153.75999450683594,2237113088,273.0799865722656,2237113088,119.33999633789062,2237113088,132.07000732421875,2237113088
RPM,90.5,13851035648,99.93000030517578,13851035648,97.44999694824219,13851035648,111.62999725341797,13851035648
