Ticker,2023_PE,Gsector,Avg_PE_Gsector
CTSO,-4.0165,Healthcare,
CUE,-1.43,Healthcare,
CUTR,-0.69721216,Healthcare,
CVM,-2.908163,Healthcare,
CVS,7.392779,Healthcare,
CWBR,-0.21938775,Healthcare,
CYCC,-0.09372999,Healthcare,
CYH,14.152174,Healthcare,
CYTK,-18.613983,Healthcare,
DARE,-4.325,Healthcare,
DCPH,-16.0,Healthcare,
DGX,14.656811,Healthcare,
DHR,30.33827,Healthcare,
DNLI,-5.945946,Healthcare,
DRRX,-0.74650407,Healthcare,
DVA,13.775794,Healthcare,
DVAX,22.68,Healthcare,
DXCM,56.30531,Healthcare,
EBS,0.5095368,Healthcare,
EDIT,-1.9324818,Healthcare,
EGRX,1.1508621,Healthcare,
EHC,18.31718,Healthcare,
EIGR,-0.4791667,Healthcare,
EKSO,-5.541667,Healthcare,
ELAN,12.702831,Healthcare,
ELMD,26.766665,Healthcare,
ELOX,-1.4225353,Healthcare,
ENSG,19.997458,Healthcare,
ENTA,-2.9036403,Healthcare,
ENZ,-2.6794872,Healthcare,
EOLS,73.0,Healthcare,
ESPR,39.899998,Healthcare,
EVFM,-0.02690909,Healthcare,
EVH,16.654762,Healthcare,
EVOK,15.400001,Healthcare,
EW,27.544874,Healthcare,
EXAS,989.4667,Healthcare,
EXEL,16.020407,Healthcare,
EYPT,-6.2253523,Healthcare,
FATE,-2.2541437,Healthcare,
FBIO,-0.36737183,Healthcare,
FGEN,-2.3977273,Healthcare,
FIXX,-1.3352858,Healthcare,
FOLD,26.038462,Healthcare,
GALT,-2.1949685,Healthcare,
GERN,-26.540667,Healthcare,
GH,-6.219931,Healthcare,
GILD,9.677828,Healthcare,
GKOS,-76.33662,Healthcare,
GLYC,-3.6666667,Healthcare,
GMED,15.31155,Healthcare,
GOSS,-0.9671429,Healthcare,
GRTS,-0.83343756,Healthcare,
GTHX,-9.907895,Healthcare,
HAE,20.751137,Healthcare,
HALO,8.512061,Healthcare,
HBIO,12.824139,Healthcare,
HCA,13.282111,Healthcare,
HCSG,12.522989,Healthcare,
HOLX,17.259682,Healthcare,
HQY,21.93113,Healthcare,
HROW,17.932203,Healthcare,
HRTX,-8.464285,Healthcare,
HSIC,12.517761,Healthcare,
HSTM,42.991665,Healthcare,
HUM,15.251622,Healthcare,
IART,7.958449,Healthcare,
IBIO,-0.71837497,Healthcare,
ICAD,-8.108333,Healthcare,
ICCC,-46.363636,Healthcare,
ICUI,14.246312,Healthcare,
IDXG,-9.266666,Healthcare,
IDXX,39.8487,Healthcare,
ILMN,51.053276,Healthcare,
INCY,9.873346,Healthcare,
INFU,18.875,Healthcare,
INGN,-3.4387753,Healthcare,
INO,-3.3849556,Healthcare,
INSM,-6.4424086,Healthcare,
INSP,392.1129,Healthcare,
INVA,15.647959,Healthcare,
IONS,-13.227129,Healthcare,
IOVA,-17.535212,Healthcare,
IQV,18.716333,Healthcare,
IRIX,-10.246207,Healthcare,
IRMD,24.040936,Healthcare,
IRTC,-63.868416,Healthcare,
IRWD,9.746914,Healthcare,
ISRG,50.639458,Healthcare,
ITCI,67.22222,Healthcare,
ITGR,18.760365,Healthcare,
JAGX,-0.45807692,Healthcare,
JAZZ,5.3083334,Healthcare,
JNJ,14.161411,Healthcare,
JYNT,31.564104,Healthcare,
KALA,-0.59478265,Healthcare,
KALV,-4.669456,Healthcare,
KIDS,-27.90534,Healthcare,
KNSA,33.70909,Healthcare,
KOD,-0.7477477,Healthcare,
KPTI,-1.039604,Healthcare,
KRYS,37.01659,Healthcare,
KURA,-8.260162,Healthcare,
KZR,-0.66888,Healthcare,
LGND,12.444661,Healthcare,
LH,12.703524,Healthcare,
LIFE,-1.6631579,Healthcare,
LIVN,16.924698,Healthcare,
LLY,43.47959,Healthcare,
LMAT,35.552013,Healthcare,
LNTH,9.985007,Healthcare,
LPCN,-8.403509,Healthcare,
LQDA,-37.941174,Healthcare,
LXRX,-2.340909,Healthcare,
MACK,-8.27809,Healthcare,
MASI,34.734013,Healthcare,
MBIO,-0.048075397,Healthcare,
MBOT,-1.4609375,Healthcare,
MCK,17.289585,Healthcare,
MCRB,-1.13975,Healthcare,
MD,6.9069767,Healthcare,
MDGL,-14.068414,Healthcare,
MDRX,10.064936,Healthcare,
MDT,14.731194,Healthcare,
MEDP,30.466768,Healthcare,
MEIP,-0.5264957,Healthcare,
MGNX,-8.155556,Healthcare,
MLSS,-12.280001,Healthcare,
MMSI,20.39011,Healthcare,
MNKD,16.84,Healthcare,
MNOV,-5.45125,Healthcare,
MOH,12.845489,Healthcare,
MOTS,-0.0041628703,Healthcare,
MRK,13.19332,Healthcare,
MRKR,-1.2588235,Healthcare,
MRNS,-1.0891473,Healthcare,
MRSN,-4.3219175,Healthcare,
