Ticker,2023_MarketCap,Market_Cap_Cat
ARI,1407403776,small-cap
ARKR,49737408,micro-cap
ARL,227985472,micro-cap
ARLO,1195551616,small-cap
ARMK,8352598528,mid-cap
AROC,3077330432,mid-cap
AROW,372676480,small-cap
ARR,897033088,small-cap
ARTNA,356764352,small-cap
ARTW,9730963,micro-cap
ARVN,2163668480,mid-cap
ARW,6926546944,mid-cap
ARWR,2839099904,mid-cap
ASB,3218277888,mid-cap
ASGN,4543515136,mid-cap
ASH,4829157888,mid-cap
ASIX,692360704,small-cap
ASMB,68753688,micro-cap
ASPN,1251989760,small-cap
ASPS,53110608,micro-cap
ASRT,80254600,micro-cap
ASRV,40982048,micro-cap
ASTC,15685186,micro-cap
ASTE,959544000,small-cap
ASUR,189745232,micro-cap
ASYS,68684440,micro-cap
ATEC,1761555712,small-cap
ATEN,990041216,small-cap
ATGE,1943337856,small-cap
ATI,7442756608,mid-cap
ATKR,6610205184,mid-cap
ATLC,402211104,small-cap
ATLO,175257392,micro-cap
ATNI,307147008,small-cap
ATNM,229927840,micro-cap
ATO,17746325504,large-cap
ATOS,191715120,micro-cap
ATR,9613191168,mid-cap
ATRA,85652016,micro-cap
ATRC,1154217984,small-cap
ATRI,752331584,small-cap
ATRO,576897856,small-cap
ATSG,835499200,small-cap
ATUS,923393984,small-cap
AUBN,63445592,micro-cap
AUMN,7161319,micro-cap
AVA,2784203520,mid-cap
AVAV,4545603584,mid-cap
AVB,27037710336,large-cap
AVD,330279808,small-cap
AVGO,620752404480,mega-cap
AVGR,5980841,micro-cap
AVNS,836756288,small-cap
AVNW,427737472,small-cap
AVRO,54077752,micro-cap
AVT,4491974656,mid-cap
AVTR,16506163200,large-cap
AVXL,296836672,small-cap
AVY,17563914240,large-cap
AWI,5151198720,mid-cap
AWK,23805300736,large-cap
AWR,2627987968,mid-cap
AWRE,38480128,micro-cap
AX,2933691904,mid-cap
AXDX,19220656,micro-cap
AXGN,284298432,small-cap
AXL,866269760,small-cap
AXNX,3409072640,mid-cap
AXP,170863230976,large-cap
AXR,109326968,micro-cap
AXS,5212085760,mid-cap
AXSM,3512604416,mid-cap
AXTA,6992208384,mid-cap
AXTI,133408328,micro-cap
AYI,7797566464,mid-cap
AYX,3527897856,mid-cap
AZO,51105329152,large-cap
AZPN,12570588160,large-cap
AZZ,1843350656,small-cap
B,1778288128,small-cap
BA,106351296512,large-cap
BAC,294968262656,mega-cap
BAH,19130400768,large-cap
BANC,2364505856,mid-cap
BAND,489123808,small-cap
BANF,2927442944,mid-cap
BANR,1519923840,small-cap
BATRA,2390976256,mid-cap
BATRK,2384618496,mid-cap
BAX,20590352384,large-cap
BBCP,370103392,small-cap
BBGI,20729940,micro-cap
BBSI,801767104,small-cap
BBW,428213504,small-cap
BBY,15899424768,large-cap
BC,5564546560,mid-cap
BCBP,160413216,micro-cap
BCC,5306059264,mid-cap
BCLI,38182624,micro-cap
BCO,4014265344,mid-cap
BCOV,72382592,micro-cap
BCPC,4492276224,mid-cap
BCRX,861432000,small-cap
BDC,3396680704,mid-cap
BDL,50183552,micro-cap
BDN,799135232,small-cap
BDSI,577050112,small-cap
BDX,67325722624,large-cap
BE,2528769536,mid-cap
BEAT,52621140,micro-cap
BECN,6316980224,mid-cap
BELFA,777015424,small-cap
BELFB,776680896,small-cap
BEN,12137161728,large-cap
BERY,6594507264,mid-cap
BFAM,6103487488,mid-cap
BFIN,121990256,micro-cap
BFS,1210809728,small-cap
BFST,523468096,small-cap
BG,14327999488,large-cap
BGFV,78760536,micro-cap
BGS,877076480,small-cap
BGSF,95408416,micro-cap
BH,617780096,small-cap
BHB,385472096,small-cap
BHE,1131917824,small-cap
BHF,3032441856,mid-cap
BHLB,941237184,small-cap
BHR,234694928,micro-cap
BHVN,3450462208,mid-cap
BIG,102851408,micro-cap
BIIB,31642595328,large-cap
BIO,7796011520,mid-cap
BIOL,4988535,micro-cap
BJ,10033236992,large-cap
BJRI,772980416,small-cap
BK,42733944832,large-cap
BKD,1323479680,small-cap
BKE,1896177536,small-cap
BKH,3727923968,mid-cap
BKNG,119218331648,large-cap
BKSC,67137688,micro-cap
BKTI,49896376,micro-cap
BKU,2035253888,mid-cap
BL,3672304384,mid-cap
BLBD,1079136000,small-cap
BLCM,778326,micro-cap
BLD,13039654912,large-cap
BLDR,22713440256,large-cap
BLFS,797506496,small-cap
BLK,112765280256,large-cap
BLKB,4035994368,mid-cap
BLMN,2294310400,mid-cap
BLUE,170653760,micro-cap
BMI,5521312256,mid-cap
BMRC,231258352,micro-cap
BMRN,15367937024,large-cap
BMY,89841074176,large-cap
BNED,10843905,micro-cap
BOH,2285287168,mid-cap
BOKF,5823512064,mid-cap
BOOM,323913056,small-cap
BOOT,3274401792,mid-cap
BOTJ,46296632,micro-cap
BOX,3833293824,mid-cap
BPMC,5780227072,mid-cap
BPOP,6222283776,mid-cap
BPRN,186819200,micro-cap
BPTH,4289106,micro-cap
BR,22867200000,large-cap
BRC,2875246848,mid-cap
BRID,94580568,micro-cap
BRKL,744955776,small-cap
