Ticker,2023_PE,Gsector
ASIX,6.22476,Basic Materials
ASMB,-0.7956853,Healthcare
ASPN,24.893938,Industrials
ASPS,-6.4748387,Real Estate
ASRT,inf,Healthcare
ASRV,,Financial Services
ASTC,-13.554707,Industrials
ASTE,13.651613,Industrials
ASUR,10.229166,Technology
ASYS,24.25,Technology
ATEC,-16.592106,Healthcare
ATEN,15.275862,Technology
ATGE,9.58721,Consumer Defensive
ATI,20.016722,Industrials
ATKR,10.039722,Industrials
ATLC,4.3359747,Financial Services
ATLO,,Financial Services
ATNI,64.43333,Communication Services
ATNM,-71.454544,Healthcare
ATO,16.651133,Utilities
ATOS,-5.133333,Healthcare
ATR,25.03793,Healthcare
ATRA,-1.5652174,Healthcare
ATRC,-41.894737,Healthcare
ATRI,,Healthcare
ATRO,14.556436,Industrials
ATSG,12.7255,Industrials
ATUS,7.769231,Communication Services
AUBN,,Financial Services
AUMN,-1.2107317,Basic Materials
AVA,13.78876,Utilities
AVAV,47.199444,Industrials
AVB,34.93934,Real Estate
AVD,11.42,Basic Materials
AVGO,25.227316,Technology
AVGR,-0.43333334,Healthcare
AVNS,9.821622,Healthcare
AVNW,8.194712,Technology
AVRO,-3.6515152,Healthcare
AVT,8.385522,Technology
AVTR,19.764227,Basic Materials
AVXL,-5.609375,Healthcare
AVY,20.714422,Consumer Cyclical
AWI,18.272446,Industrials
AWK,21.477114,Utilities
AWR,21.503048,Utilities
AWRE,-14.538462,Technology
AX,7.4109197,Financial Services
AXDX,-0.4573196,Healthcare
AXGN,38.235294,Healthcare
AXL,13.943397,Consumer Cyclical
AXNX,79.58321,Healthcare
AXP,15.95744,Financial Services
AXR,,Real Estate
AXS,5.836174,Financial Services
AXSM,60.569103,Healthcare
AXTA,14.751163,Basic Materials
AXTI,16.75,Technology
AYI,15.2860155,Industrials
AYX,28.222221,Technology
AZO,17.708242,Consumer Cyclical
AZPN,27.195742,Technology
AZZ,12.932862,Industrials
B,16.399998,Industrials
BA,30.18,Industrials
BAC,11.308735,Financial Services
BAH,24.977964,Industrials
BANC,6.9183173,Financial Services
BAND,11.402515,Technology
BANF,15.943548,Financial Services
BANR,8.889337,Financial Services
BATRA,-97.635956,Communication Services
BATRK,-158.375,Communication Services
BAX,12.512384,Healthcare
BBCP,9.690142,Industrials
BBGI,-4.8821425,Communication Services
BBSI,14.297439,Industrials
BBW,7.9687505,Consumer Cyclical
