Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
AMC,-72.3453,-23.2842,-59.2646,-3.711125
AMCX,4.4241,-96.9696,2737.2926,2.072797
AMD,26.988,-58.2543,-35.303,31.071566
AME,13.4811,17.1192,13.2506,23.727638
AMED,13.8687,-43.2688,-108.2178,18.309381
AMG,179.7725,102.5632,-41.2776,6.4021826
AMGN,-18.8739,11.1828,2.5183,13.9765415
AMH,34.7059,44.4471,39.1853,52.188404
AMKR,90.1576,19.1025,-53.0162,14.519315
AMN,363.2958,35.6342,-52.5551,13.0711155
AMNB,44.8694,-20.9024,-24.0182,19.899998
AMP,122.751,-7.8431,-18.8314,10.849278
AMPE,7.4305,-4.3221,-47.1629,-2.4444444
AMPH,4327.3699,47.1215,50.5099,9.870326
AMRC,30.3523,34.7271,-34.1908,10.363861
AMRK,423.2456,-16.9766,17.9755,7.560297
AMRX,-88.3328,-1323.5128,-35.383,8.94697
AMS,-102.7487,584.5361,-54.0663,7.5707145
AMSC,,-15.3673,82.5718,310.51752
AMSF,-24.071,-15.4419,11.701,18.809128
AMSWA,,58.0171,-18.4713,27.026318
AMT,51.881,-31.2303,-15.9984,23.704206
AMTD,6.6789,0.683,,
AMTX,28.6096,128.5575,-56.922,-7.82
AMWD,,-148.5709,-415.3321,10.224175
AMZN,56.4109,-108.1585,-1217.7443,36.672066
AN,259.8008,0.3205,-25.8676,8.131868
ANAB,189.9804,122.7213,27.1084,-3.6946309
ANDE,1248.716,26.0554,-22.8029,14.499999
ANET,32.5104,60.842,54.3367,30.84244
ANF,,-330.668,-98.9293,15.462298
ANGI,1036.0497,79.9574,-68.1277,36.083332
ANGO,-81.0849,-15.852,97.544,-11.632652
ANIK,-117.2379,-459.434,456.343,63.268295
ANIP,88.9436,12.424,-139.2079,13.12974
ANIX,29.3027,4.9483,-27.8338,-6.722223
ANSS,4.78,15.1955,-4.4486,30.820728
AON,-36.2621,106.2948,-0.9656,16.239317
AOS,41.2293,-51.6116,136.1476,19.369265
AOSL,-981.0794,679.756,-97.2716,27.358025
AP,-148.4442,-188.4745,-1268.8525,9.347826
APA,-123.7249,217.533,-20.7825,5.9981346
APAM,58.2733,-38.5601,7.5132,11.494445
APD,11.2578,7.4794,1.9547,17.07297
APDN,9.6661,-42.1277,20.3095,-0.35188678
APEI,-5.6848,-747.7749,-58.8792,14.414584
APH,32.1921,19.5813,1.351,32.196335
APLE,-110.8702,669.0939,22.571,17.845238
APLS,116.4135,-12.6189,-18.9435,37.851852
APOG,,-77.4164,2886.4314,12.747434
APPF,-99.351,-6726.3619,-103.9666,45.470196
APPN,164.7818,70.2598,-26.1589,-295.0
APPS,,-35.2343,-53.0946,4.269111
APT,-74.8735,-51.421,27.6356,5.181035
APTV,-67.2949,0.678,394.6128,9.903632
APVO,60.3211,-128.2075,-316.9054,-0.0905948
APYX,27.5387,52.8078,-19.2849,-1.9642857
AQB,36.1135,-0.7409,,-0.6257097
AQMS,-29.3805,-15.1817,55.1293,-7.002857
AR,-85.2591,-1115.9343,-87.2065,12.414545
ARAY,-264.9072,-15.2749,73.5553,16.653847
ARC,47.7537,21.3387,-25.7707,8.3125
ARCB,200.3108,39.6626,-34.4644,8.917787
ARCH,-197.9566,294.2596,-65.1339,7.094066
ARDX,67.7022,-57.5083,-1.6963,167.875
ARE,-25.9044,-8.6805,-80.1328,31.065617
ARES,168.7207,-59.0201,183.1104,21.700813
ARI,1116.2758,18.6641,-78.0845,7.996129
ARKR,-375.064,-28.0264,-163.8724,
ARL,-62.9347,11054.7356,-98.9372,
ARLO,-44.6633,1.0655,-61.085,21.199484
ARMK,-80.3191,-314.1116,246.6136,16.431702
AROC,-141.2258,56.9834,137.0372,16.76695
AROW,22.1177,-2.1221,-38.3696,8.584906
ARR,-107.1419,-1596.6478,-70.4593,4.316901
ARTNA,0.0595,6.9591,-7.2175,16.547619
ARTW,-110.1085,-54.0062,172.9828,
ARVN,60.1006,47.9058,30.0177,-5.7217236
ARW,89.6175,28.7573,-36.6799,8.0494375
ARWR,66.5795,25.0021,16.5918,-8.62406
ASB,14.4156,4.31,-50.0287,9.025316
ASGN,104.643,-34.5938,-18.2022,16.26539
ASH,-143.3071,321.3636,-80.7983,16.930824
ASIX,203.3856,22.9593,-68.2214,6.22476
ASMB,108.9313,-28.3108,-34.2285,-0.7956853
ASPN,70.0857,123.0495,-44.6312,24.893938
ASPS,-117.5889,-552.235,5.3765,-6.4748387
ASRT,-95.4484,-8657.7674,-402.7977,inf
ASRV,53.806,5.3167,-144.9248,
ASTC,-8.5188,9.562,15.7503,-13.554707
ASTE,-65.6522,-100.6329,-33600.0,13.651613
ASUR,-119.5757,-553.0536,-36.3058,10.229166
ASYS,-109.591,1051.6578,-172.4477,24.25
ATEC,81.0669,5.7756,23.362,-16.592106
ATEN,432.5943,-50.5644,-14.7907,15.275862
ATGE,-182.0622,344.1016,-69.9805,9.58721
ATI,-111.7385,75.2438,26.9861,20.016722
ATKR,285.9811,55.3837,-24.4719,10.039722
ATLC,89.0161,-23.7799,-24.1539,4.3359747
ATLO,26.8594,-19.32,-43.933,
ATNI,56.5501,-74.4663,157.5376,64.43333
ATNM,11.5192,33.2728,47.8572,-71.454544
ATO,10.661,16.3523,14.3936,16.651133
ATOS,15.5822,30.8357,,-5.133333
ATR,14.0427,-1.9701,18.889,25.03793
ATRA,10.9324,-32.8802,20.9477,-1.5652174
ATRC,-204.2446,-192.5636,-34.494,-41.894737
ATRI,2.927,5.9083,-44.5527,
ATRO,-77.9083,39.7568,-26.0889,14.556436
ATSG,620.5979,-14.1902,-69.621,12.7255
ATUS,127.0403,-80.3533,-72.6577,7.769231
AUBN,7.8481,28.6976,-86.5165,
AUMN,-76.9425,372.8401,-6.8443,-1.2107317
AVA,13.782,5.3226,10.3135,13.78876
